Submarket,2011,2012,2013,2014,2015,2016,2017,2018,2019
South Brooklyn,453579,489671,499744,538326,600435,656652,698954,708765,723140
Central Brooklyn,423734,434713,448156,536179,624376,707860,771855,799695,824399
Northwest Brooklyn,680329,768916,742096,939272,1067258,1078672,1193939,1266901,1305037
East Brooklyn,323265,338058,320334,381753,392311,434020,480705,517332,551689
North Brooklyn,460077,520876,625073,759152,943274,1068739,1012676,1038494,1093635
Brooklyn,468196.8,489321.8,501908.0667,534165.15,572438.28,608563.3333,640429.4,668655.4,694313.6889
