areaName,Borough,areaType,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Country Club,Bronx,neighborhood,0,295000,0,0,447500,413250,0,395000,550833,0,600000,638750,720688,0,0
Crotona Park East,Bronx,neighborhood,0,182250,0,0,0,0,323325,366084,0,386000,625000,0,0,0,0
Crown Heights,Brooklyn,neighborhood,433338,400494,436498,437371,510581,686498,818599,872141,908208,823167,953679,918988,975579,950298,1081250
DUMBO,Brooklyn,neighborhood,675000,0,848099,961464,1461602,1541059,2014394,1784271,1954500,2078000,1257012,1499650,1885002,1736707,0
Ditmas Park,Brooklyn,neighborhood,496798,581875,477512,426932,592233,702650,624333,846867,614500,1033393,685762,1008000,1122688,1030959,0
Douglaston,Queens,neighborhood,659957,626667,613939,729143,665000,666326,734778,825292,791654,834700,821375,962306,1011493,939250,0
Downtown Brooklyn,Brooklyn,neighborhood,462074,490550,577340,584093,614464,814430,816708,737615,823384,845560,910210,1124315,1219695,1165818,1148158
Dyker Heights,Brooklyn,neighborhood,656664,634514,662175,729375,773515,901350,943290,992550,1060636,1006545,947968,1104708,1225162,1251500,1127500
East Brooklyn,Brooklyn,submarket,350335,355105,386548,417197,503008,638112,683875,735280,772271,750216,801281,884996,890094,911872,926250
East Elmhurst,Queens,neighborhood,422736,457481,407214,445643,513500,550214,628807,671389,765429,688106,709500,835000,820000,811667,0
East Flatbush,Brooklyn,neighborhood,353912,323461,323396,355135,372250,432300,446779,478930,526254,575298,592677,633109,656186,657035,700000
East Harlem,Manhattan,neighborhood,412370,404638,423168,538841,628535,500833,649016,592500,759232,768430,630000,725688,643980,650000,0
East New York,Brooklyn,neighborhood,285686,285958,279886,316919,341935,409837,438788,499720,552884,566076,636621,664408,703451,712807,638798
East Tremont,Bronx,neighborhood,344971,347500,0,0,300150,347367,335500,348930,380167,424138,524000,504750,725000,0,0
East Village,Manhattan,neighborhood,673312,747757,677146,745256,945754,898736,962208,966691,1102481,977562,1040433,1048729,1010096,897557,1200000
Eastchester,Bronx,neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edenwald,Bronx,neighborhood,339000,0,0,363496,375550,391000,396582,434714,422700,457228,611825,593985,620600,664500,0
Elmhurst,Queens,neighborhood,298130,341515,324594,314994,327138,433066,388004,460994,554134,548000,578967,554797,554895,504170,554250
Financial District,Manhattan,neighborhood,752513,750538,829744,923228,1039094,1072866,957924,1351491,997989,955083,1168383,1161013,1122810,1017021,874500
Flatbush,Brooklyn,neighborhood,320325,279676,325613,323668,412461,540250,543656,562210,630538,611597,597904,637162,640786,642955,649794
Flatiron,Manhattan,neighborhood,1234167,1185944,1295167,1328493,1599315,1818607,1956485,2289348,1728624,1940220,1536344,1818334,2023696,1973448,2288000
Flatlands,Brooklyn,neighborhood,391013,349411,333320,377165,411622,444333,430598,474198,535955,531804,557015,623624,662476,678350,663500
Floral Park,Queens,neighborhood,0,0,0,0,0,0,0,0,0,717500,0,0,0,0,0
Flushing,Queens,neighborhood,359907,365717,417311,488017,469715,490163,584827,735064,719692,633771,673337,649691,667974,721055,684000
Fordham,Bronx,neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,557500,230000,0
Forest Hills,Queens,neighborhood,272785,279656,274292,279512,276365,348893,340451,386378,405071,423167,412215,429125,420531,434418,468750
Fort Greene,Brooklyn,neighborhood,589038,535891,611523,840444,945850,1121251,774529,1130066,1325192,1203580,1123150,1163381,1532917,1329375,0
Fresh Meadows,Queens,neighborhood,603750,0,385000,695000,0,647000,880000,710000,0,0,0,916500,0,974500,0
Gerritsen Beach,Brooklyn,neighborhood,0,0,0,0,0,0,0,355000,547500,0,0,562500,560000,0,0
Glen Oaks,Queens,neighborhood,291771,310250,338771,294296,324467,361396,388168,413246,414409,383138,393132,383679,444415,400354,410250
Glendale,Queens,neighborhood,438089,430167,444638,483852,511579,592886,616707,700682,743909,738179,741333,783083,834250,826900,767500
Gowanus,Brooklyn,neighborhood,566673,629838,682452,0,0,0,0,0,0,0,995893,952208,1045000,0,0
Gramercy Park,Manhattan,neighborhood,717585,732251,745280,694233,1010950,871604,940144,936136,1105198,1362317,895208,1108854,1025944,1115229,1162500
