Submarket,2011,2012,2013,2014,2015,2016,2017,2018,2019
Central Brooklyn,23632,24386,25338,26316,27422,28851,30104,31416,33340
East Brooklyn,16914,17859,18429,18591,19285,19739,20318,21726,22441
North Brooklyn,25827,26242,27082,27997,29616,31453,33502,36336,39516
Northwest Brooklyn,38373,40240,40294,41406,43006,46659,50933,56918,63250
South Brooklyn,27289,28021,28816,29758,31036,32372,33467,34737,36324
