areaName,Borough,areaType,2011 YoY Increase (%),2012 YoY Increase (%),2013 YoY Increase (%),2014 YoY Increase (%),2015 YoY Increase (%),2016 YoY Increase (%),2017 YoY Increase (%),2018 YoY Increase (%),2019 YoY Increase (%),2020 YoY Increase (%),2021 YoY Increase (%),2022 YoY Increase (%),2023 YoY Increase (%),2024 YoY Increase (%)
Soho,Manhattan,neighborhood,5.46,6.94,13.41,8.49,-4.06,14.35,-16.79,-5.08,6.09,-18.58,7.84,24.36,11.82,-100.0
Soundview,Bronx,neighborhood,0.16,-0.72,0.72,7.28,-2.27,12.28,2.46,10.41,10.14,-1.21,18.51,6.77,0.42,12.59
South Brooklyn,Brooklyn,submarket,-0.21,4.63,0.87,6.53,8.16,9.2,7.41,2.88,3.39,4.62,11.76,0.55,0.04,0.31
South Jamaica,Queens,neighborhood,-2.41,6.78,3.47,-1.48,19.18,11.29,4.81,19.68,1.66,8.73,10.44,8.08,-1.38,-5.95
South Ozone Park,Queens,neighborhood,2.22,2.0,7.36,7.11,8.14,4.18,11.4,5.83,7.17,6.2,13.02,1.96,-0.55,11.28
South Queens,Queens,submarket,-3.21,3.16,3.91,7.73,6.89,9.46,6.76,9.5,5.14,7.31,11.09,5.37,-2.17,4.75
South Richmond Hill,Queens,neighborhood,-6.9,6.68,2.05,13.24,6.12,9.01,6.09,14.46,5.99,1.75,8.79,4.09,2.98,-9.27
Springfield Gardens,Queens,neighborhood,-6.14,-1.63,8.5,1.85,13.05,6.24,4.84,12.51,2.34,18.99,2.79,6.2,-0.35,6.33
St. Albans,Queens,neighborhood,-7.69,4.77,6.33,7.39,4.45,6.25,10.28,12.18,4.38,11.46,8.94,6.85,-3.38,4.67
Staten Island,Staten Island,borough,-3.72,2.02,0.51,3.46,2.94,6.9,11.89,7.41,0.02,4.34,9.74,6.61,-0.42,-23.7
Stuyvesant Town/PCV,Manhattan,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sunnyside,Queens,neighborhood,18.67,4.23,-8.52,22.37,-5.08,8.93,18.71,17.44,5.26,-4.75,10.54,-11.0,-12.45,2.5
Sunset Park,Brooklyn,neighborhood,16.58,4.35,-8.9,34.07,7.27,12.85,4.81,10.24,-10.38,-1.21,2.39,9.22,-0.08,6.09
The Rockaways,Queens,submarket,6.08,13.69,-16.25,3.31,11.43,1.86,11.47,5.93,0.48,9.83,17.22,12.63,-5.68,3.23
Throgs Neck,Bronx,neighborhood,-0.59,0.58,-0.37,5.39,3.35,7.04,8.47,6.98,6.28,1.12,17.78,2.96,-4.07,11.67
Tremont,Bronx,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,-100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tribeca,Manhattan,neighborhood,11.26,-0.74,11.02,-0.62,32.19,24.58,3.82,3.17,-24.55,-3.21,1.9,4.39,-0.6,-4.06
University Heights,Bronx,neighborhood,N/A,N/A,-100.0,N/A,N/A,-51.08,24.75,85.8,38.2,-26.68,83.45,4.19,-100.0,N/A
Upper East Side,Manhattan,neighborhood,-2.22,1.43,0.88,7.28,6.72,5.61,-0.02,2.59,-1.96,-6.91,5.0,7.21,1.64,-25.54
Upper West Side,Manhattan,neighborhood,0.83,2.37,1.11,6.42,14.76,-3.33,16.96,-8.27,-2.04,17.82,-15.47,6.89,-6.32,-3.49
Utopia,Queens,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Van Nest,Bronx,neighborhood,N/A,N/A,N/A,-21.02,15.93,16.93,9.36,13.34,1.46,-100.0,N/A,16.4,-100.0,N/A
Wakefield,Bronx,neighborhood,-0.84,0.06,1.4,2.36,0.35,11.4,12.94,1.49,12.87,4.26,8.93,11.57,-2.27,-9.88
Washington Heights,Manhattan,neighborhood,-0.38,2.65,-1.72,18.85,15.78,5.09,5.84,7.23,-6.58,-7.08,8.47,-1.71,-5.08,20.56
West Harlem,Manhattan,neighborhood,N/A,N/A,N/A,-100.0,N/A,N/A,N/A,-100.0,N/A,-100.0,N/A,N/A,-100.0,N/A
West Village,Manhattan,neighborhood,-5.02,-2.61,22.25,1.24,35.86,-13.61,0.86,25.01,-17.71,2.66,8.4,-7.5,12.76,-32.13
Westchester Village,Bronx,neighborhood,N/A,N/A,N/A,-100.0,N/A,N/A,N/A,-3.62,-100.0,N/A,-100.0,N/A,N/A,N/A
Whitestone,Queens,neighborhood,-3.87,4.04,3.06,13.87,-7.29,21.01,3.53,11.25,-1.05,2.56,-0.13,14.88,-6.6,-18.5
Williamsbridge,Bronx,neighborhood,-19.49,-4.67,15.01,4.68,1.94,11.28,13.6,3.42,3.91,13.45,5.03,10.1,4.01,-4.6
Williamsburg,Brooklyn,neighborhood,3.28,14.46,15.31,19.22,5.73,7.06,4.78,-0.14,6.34,-4.68,12.2,8.8,0.13,-13.02
Windsor Terrace,Brooklyn,neighborhood,-3.21,16.71,-11.21,31.78,3.76,19.33,23.89,-9.41,4.07,-20.16,19.67,10.31,3.8,-4.1
Woodhaven,Queens,neighborhood,1.4,-2.5,7.39,11.36,10.21,14.09,7.0,10.57,1.91,5.84,6.37,6.57,-6.13,18.16
Woodlawn,Bronx,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-100.0,N/A,N/A,-100.0,N/A,N/A
Woodside,Queens,neighborhood,-6.77,-12.84,18.5,10.13,16.8,-6.05,16.14,6.52,11.16,3.73,-8.76,-6.27,-0.73,24.56
Woodstock,Bronx,neighborhood,N/A,N/A,0.5,-100.0,N/A,-100.0,N/A,N/A,N/A,-100.0,N/A,1.07,-100.0,N/A
