areaName,Borough,areaType,2011 YoY Increase (%),2012 YoY Increase (%),2013 YoY Increase (%),2014 YoY Increase (%),2015 YoY Increase (%),2016 YoY Increase (%),2017 YoY Increase (%),2018 YoY Increase (%),2019 YoY Increase (%),2020 YoY Increase (%),2021 YoY Increase (%),2022 YoY Increase (%),2023 YoY Increase (%),2024 YoY Increase (%)
City Island,Bronx,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-41.42,-100.0,N/A,-100.0,N/A,N/A
Civic Center,Manhattan,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Clearview,Queens,neighborhood,18.12,-1.44,-2.97,0.71,-8.05,5.54,31.53,12.75,-6.72,41.25,-24.41,-2.88,0.4,-100.0
Clinton Hill,Brooklyn,neighborhood,19.12,-11.29,18.56,15.53,17.58,10.21,1.04,24.37,-4.87,-10.4,11.37,9.02,19.25,-8.33
Co-op City,Bronx,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cobble Hill,Brooklyn,neighborhood,12.96,-15.96,-31.27,114.29,3.4,6.7,0.51,17.04,33.59,-18.1,-19.25,34.58,-45.2,-100.0
College Point,Queens,neighborhood,2.55,-2.68,7.82,7.27,16.25,5.41,15.66,3.8,-5.38,-4.39,14.83,8.03,-11.72,3.29
Columbia St Waterfront District,Brooklyn,neighborhood,N/A,-100.0,N/A,N/A,-45.56,-100.0,N/A,N/A,N/A,-100.0,N/A,-100.0,N/A,N/A
Concourse,Bronx,neighborhood,-6.91,-100.0,N/A,-11.41,10.55,15.7,16.96,36.79,-6.73,-20.2,45.39,-22.66,11.43,-100.0
Coney Island,Brooklyn,neighborhood,-6.52,3.29,9.19,-10.28,16.79,15.45,8.11,1.74,-1.05,9.33,-5.4,4.33,-4.66,3.21
Corona,Queens,neighborhood,-7.89,10.16,-2.82,21.53,14.0,6.94,7.1,-7.56,4.02,-12.31,6.55,29.26,0.44,-17.85
Country Club,Bronx,neighborhood,N/A,-100.0,N/A,N/A,-7.65,-100.0,N/A,39.45,-100.0,N/A,6.46,12.83,-100.0,N/A
Crotona Park East,Bronx,neighborhood,N/A,-100.0,N/A,N/A,N/A,N/A,13.22,-100.0,N/A,61.92,-100.0,N/A,N/A,N/A
Crown Heights,Brooklyn,neighborhood,-7.58,8.99,0.2,16.74,34.45,19.24,6.54,4.14,-9.36,15.85,-3.64,6.16,-2.59,13.78
DUMBO,Brooklyn,neighborhood,-100.0,N/A,13.37,52.02,5.44,30.71,-11.42,9.54,6.32,-39.51,19.3,25.7,-7.87,-100.0
Ditmas Park,Brooklyn,neighborhood,17.13,-17.94,-10.59,38.72,18.64,-11.15,35.64,-27.44,68.17,-33.64,46.99,11.38,-8.17,-100.0
Douglaston,Queens,neighborhood,-5.04,-2.03,18.76,-8.8,0.2,10.27,12.32,-4.08,5.44,-1.6,17.16,5.11,-7.14,-100.0
Downtown Brooklyn,Brooklyn,neighborhood,6.16,17.69,1.17,5.2,32.54,0.28,-9.68,11.63,2.69,7.65,23.52,8.48,-4.42,-1.51
Dyker Heights,Brooklyn,neighborhood,-3.37,4.36,10.15,6.05,16.53,4.65,5.22,6.86,-5.1,-5.82,16.53,10.9,2.15,-9.91
East Brooklyn,Brooklyn,submarket,1.36,8.85,7.93,20.57,26.86,7.17,7.52,5.03,-2.86,6.81,10.45,0.58,2.45,1.58
East Elmhurst,Queens,neighborhood,8.22,-10.99,9.44,15.23,7.15,14.28,6.77,14.01,-10.1,3.11,17.69,-1.8,-1.02,-100.0
East Flatbush,Brooklyn,neighborhood,-8.6,-0.02,9.81,4.82,16.13,3.35,7.2,9.88,9.32,3.02,6.82,3.65,0.13,6.54
East Harlem,Manhattan,neighborhood,-1.88,4.58,27.34,16.65,-20.32,29.59,-8.71,28.14,1.21,-18.01,15.19,-11.26,0.93,-100.0
East New York,Brooklyn,neighborhood,0.1,-2.12,13.23,7.89,19.86,7.06,13.89,10.64,2.39,12.46,4.36,5.88,1.33,-10.38
East Tremont,Bronx,neighborhood,0.73,-100.0,N/A,N/A,15.73,-3.42,4.0,8.95,11.57,23.54,-3.67,43.64,-100.0,N/A
East Village,Manhattan,neighborhood,11.06,-9.44,10.06,26.9,-4.97,7.06,0.47,14.05,-11.33,6.43,0.8,-3.68,-11.14,33.7
Eastchester,Bronx,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Edenwald,Bronx,neighborhood,-100.0,N/A,N/A,3.32,4.11,1.43,9.62,-2.76,8.17,33.81,-2.92,4.48,7.07,-100.0
Elmhurst,Queens,neighborhood,14.55,-4.95,-2.96,3.86,32.38,-10.41,18.81,20.2,-1.11,5.65,-4.17,0.02,-9.14,9.93
Financial District,Manhattan,neighborhood,-0.26,10.55,11.27,12.55,3.25,-10.71,41.09,-26.16,-4.3,22.33,-0.63,-3.29,-9.42,-14.01
Flatbush,Brooklyn,neighborhood,-12.69,16.43,-0.6,27.43,30.98,0.63,3.41,12.15,-3.0,-2.24,6.57,0.57,0.34,1.06
Flatiron,Manhattan,neighborhood,-3.91,9.21,2.57,20.39,13.71,7.58,17.01,-24.49,12.24,-20.82,18.35,11.29,-2.48,15.94
Flatlands,Brooklyn,neighborhood,-10.64,-4.61,13.15,9.14,7.95,-3.09,10.13,13.02,-0.77,4.74,11.96,6.23,2.4,-2.19
Floral Park,Queens,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-100.0,N/A,N/A,N/A,N/A
Flushing,Queens,neighborhood,1.61,14.11,16.94,-3.75,4.35,19.31,25.69,-2.09,-11.94,6.24,-3.51,2.81,7.95,-5.14
Fordham,Bronx,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-58.74,-100.0
Forest Hills,Queens,neighborhood,2.52,-1.92,1.9,-1.13,26.24,-2.42,13.49,4.84,4.47,-2.59,4.1,-2.0,3.3,7.9
Fort Greene,Brooklyn,neighborhood,-9.02,14.11,37.43,12.54,18.54,-30.92,45.9,17.27,-9.18,-6.68,3.58,31.76,-13.28,-100.0
Fresh Meadows,Queens,neighborhood,-100.0,N/A,80.52,-100.0,N/A,36.01,-19.32,-100.0,N/A,N/A,N/A,-100.0,N/A,-100.0
Gerritsen Beach,Brooklyn,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54.23,-100.0,N/A,N/A,-0.44,-100.0,N/A
Glen Oaks,Queens,neighborhood,6.33,9.19,-13.13,10.25,11.38,7.41,6.46,0.28,-7.55,2.61,-2.4,15.83,-9.91,2.47
Glendale,Queens,neighborhood,-1.81,3.36,8.82,5.73,15.89,4.02,13.62,6.17,-0.77,0.43,5.63,6.53,-0.88,-7.18
Gowanus,Brooklyn,neighborhood,11.15,8.35,-100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-4.39,9.74,-100.0,N/A
Gramercy Park,Manhattan,neighborhood,2.04,1.78,-6.85,45.62,-13.78,7.86,-0.43,18.06,23.26,-34.29,23.87,-7.48,8.7,4.24
Gravesend,Brooklyn,neighborhood,7.82,2.5,4.74,8.56,20.63,-0.17,6.65,-0.42,0.63,2.5,12.6,1.63,3.57,1.52
Greenpoint,Brooklyn,neighborhood,1.48,7.49,28.35,19.23,30.02,23.77,-19.5,9.98,13.87,-26.64,24.01,13.57,-6.47,31.05
Greenwich Village,Manhattan,neighborhood,-2.44,21.42,-10.41,15.85,25.24,38.75,-23.42,-2.87,-0.41,-12.5,12.09,6.61,-0.49,-17.25
Greenwood,Brooklyn,neighborhood,-100.0,N/A,46.55,-43.48,116.77,1.99,17.29,5.94,-8.41,2.5,3.18,4.98,41.92,-100.0
Hamilton Heights,Manhattan,neighborhood,-64.79,185.11,15.84,27.28,10.98,-0.45,17.59,-17.55,14.5,-12.74,1.18,-3.34,-5.4,-100.0
Highbridge,Bronx,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,18.69,-100.0,N/A,N/A,N/A,N/A,N/A,N/A
Hillcrest,Queens,neighborhood,-100.0,N/A,6.92,9.2,6.38,11.85,4.33,18.04,-13.23,0.6,14.95,2.51,-12.98,-100.0
Hollis,Queens,neighborhood,-9.89,11.09,0.52,10.11,8.55,6.58,9.32,11.4,5.72,9.07,8.01,10.66,-2.85,0.39
Howard Beach,Queens,neighborhood,10.67,-12.74,-16.94,55.66,-16.55,17.95,18.89,-7.07,5.78,26.55,15.88,-1.77,-18.12,16.64
Hunts Point,Bronx,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Inwood,Manhattan,neighborhood,N/A,N/A,27.11,-5.9,0.87,7.86,9.68,-100.0,N/A,30.6,-22.69,4.2,-100.0,N/A
Jackson Heights,Queens,neighborhood,3.78,1.61,-8.06,2.88,5.31,18.95,20.24,9.17,2.64,6.08,-1.46,-3.1,-6.36,0.11
Jamaica,Queens,neighborhood,7.03,0.74,5.02,2.01,16.01,4.52,9.23,11.86,5.09,10.41,9.0,4.17,5.25,-14.91
Jamaica Estates,Queens,neighborhood,-9.77,21.61,-10.46,-3.65,7.77,51.99,-42.54,51.53,7.23,-10.36,24.25,-13.83,-2.85,63.17
Jamaica Hills,Queens,neighborhood,-15.37,-100.0,N/A,N/A,-15.22,19.27,-29.05,55.43,-6.92,-17.55,49.38,-4.42,-100.0,N/A
Kensington,Brooklyn,neighborhood,-1.75,10.88,-17.43,26.93,26.98,13.72,9.97,11.74,4.4,-0.18,-3.23,6.58,-6.07,-28.45
Kew Gardens,Queens,neighborhood,0.39,-2.67,-5.25,8.91,1.69,6.7,19.91,-0.04,13.76,-3.7,9.74,-4.15,-8.33,-15.03
Kew Gardens Hills,Queens,neighborhood,8.88,-14.46,-0.75,1.54,1.77,17.27,19.01,-1.48,14.28,8.03,-1.57,14.15,-3.18,21.2
Kingsbridge,Bronx,neighborhood,N/A,N/A,N/A,-100.0,N/A,14.22,5.77,19.81,9.39,22.23,-40.45,-6.97,14.29,-100.0
Laconia,Bronx,neighborhood,-100.0,N/A,-8.11,25.49,-4.66,2.51,1.98,18.77,11.65,-1.63,4.7,24.05,-100.0,N/A
Laurelton,Queens,neighborhood,-15.7,4.1,7.19,2.68,3.87,8.72,13.43,3.32,6.23,9.94,8.32,2.07,3.0,0.3
Little Italy,Manhattan,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-100.0,N/A
Little Neck,Queens,neighborhood,-12.83,26.37,-19.7,45.35,-11.6,16.05,-0.66,-12.16,41.18,5.5,-19.71,13.56,6.24,62.39
Long Island City,Queens,neighborhood,-5.51,8.73,18.4,3.11,5.62,17.28,-0.94,-5.7,7.18,-6.91,18.49,-3.88,0.39,-14.15
Longwood,Bronx,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lower East Side,Manhattan,neighborhood,-6.15,-9.97,14.26,12.25,6.4,27.61,-3.25,32.11,20.83,-24.26,8.85,15.18,-3.08,-28.33
Manhattan,Manhattan,borough,-2.38,3.92,1.14,8.12,9.27,5.86,6.89,-5.11,5.76,-6.59,6.04,3.79,-1.84,-7.75
Manhattan Beach,Brooklyn,neighborhood,N/A,N/A,N/A,N/A,-100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-100.0
Marble Hill,Manhattan,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marine Park,Brooklyn,neighborhood,-3.35,3.4,-0.4,7.79,5.25,13.43,4.75,5.5,0.68,0.32,5.38,9.23,-2.74,6.51
Maspeth,Queens,neighborhood,0.07,-0.22,10.99,7.94,12.8,4.69,14.44,3.07,5.78,-2.69,0.76,11.52,-6.92,6.06
Melrose,Bronx,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Middle Village,Queens,neighborhood,-12.02,10.2,4.25,9.22,5.21,12.36,8.68,6.59,-1.42,-3.07,6.27,6.51,-0.19,3.76
Midtown,Manhattan,neighborhood,1.67,1.11,-7.61,54.75,-6.44,37.01,-27.3,-6.63,33.29,23.52,-36.22,8.38,25.98,-23.59
Midtown East,Manhattan,neighborhood,-5.0,3.21,5.02,3.85,14.35,-0.17,4.7,1.39,-6.08,-6.52,4.6,1.24,0.91,-10.2
Midtown South,Manhattan,neighborhood,36.59,8.91,-11.61,-13.58,5.92,19.83,20.4,23.3,-51.9,9.01,8.21,-16.08,1.82,-100.0
Midtown West,Manhattan,neighborhood,6.16,1.8,0.96,-6.85,37.79,-5.5,15.56,-13.36,32.31,-28.53,-1.91,19.53,-4.24,-3.58
Midwood,Brooklyn,neighborhood,5.14,-0.81,3.38,10.69,4.83,24.19,7.99,-1.25,12.27,-17.75,28.94,-16.21,18.0,-8.61
Mill Basin,Brooklyn,neighborhood,-100.0,N/A,N/A,N/A,-18.52,43.37,0.4,-2.63,-100.0,N/A,N/A,0.46,-100.0,N/A
Morningside Heights,Manhattan,neighborhood,-8.86,-4.22,1.48,11.67,17.46,3.66,8.5,3.06,-10.54,-100.0,N/A,-1.89,10.97,20.19
